,N° Etudiant,Nom,Prénom,Moyenne,Grade,Grade ECTS,code_UE,libelle_UE,responsable_UE,annee,nom_UV,code_UV,note,lieu
4025,2015_0619,Skinner,Susan,20,au dessus,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,+,Nantes
4026,2015_ee7c,Havard,Julia,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4027,2015_05fe,Pearson,Rudy,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4028,2015_13ac,Lowe,Frank,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4029,2015_5c0a,Hallock,Chad,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4030,2015_44d2,Potts,William,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4031,2015_9a28,Warnes,Sarah,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4032,2015_5824,Jackson,Kayla,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4033,2015_9a8c,Salazar,David,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4034,2015_cf4c,Lopez,Emma,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4035,2015_d53e,Johnson,Stacey,0,en dessous,F,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,-,Nantes
4036,2015_624e,Windish,Josephine,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4037,2015_3b57,Visher,Katherine,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4038,2015_6455,Cresswell,Luis,20,au dessus,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,+,Nantes
4039,2015_9797,Kelly,Henry,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4040,2015_de8a,Carlisle,Anita,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4041,2015_bfb0,Madrigal,Lisa,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4042,2015_ed24,Santos,Annamarie,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4043,2015_3082,Weathers,Stephen,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4044,2015_01ec,Hill,Elaine,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4045,2015_76f8,Gilliss,Carmen,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4046,2015_d4c1,Crews,Angelo,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4047,2015_1da8,Morris,Dane,20,au dessus,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,+,Nantes
4048,2015_bc24,Mccormick,Mathew,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4049,2015_b32c,Barr,Jill,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4050,2015_a5a6,Poole,Barry,0,en dessous,F,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,-,Nantes
4051,2015_f409,Allen,Tiffany,20,au dessus,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,+,Nantes
4052,2015_be83,Killian,Ronald,20,au dessus,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,+,Nantes
4053,2015_b922,Simard,Joseph,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4054,2015_29e2,Norman,Kelly,20,au dessus,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,+,Nantes
4055,2015_e899,Daniels,Bethany,20,au dessus,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,+,Nantes
4056,2015_edbe,Kaye,Lori,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
